City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nikolskoye,RU,2022-05-15 04:32:51,59.7035,30.7861,47.88,79,81,7.63
68,Dikson,RU,2022-05-15 04:32:51,73.5069,80.5464,31.98,88,100,3.06
69,Alcanena,PT,2022-05-15 04:32:52,39.459,-8.6689,63.32,99,100,4.97
70,Bati,ET,2022-05-15 04:32:52,11.1833,40.0167,78.73,16,1,1.39
71,Kapaa,US,2022-05-15 04:32:52,22.0752,-159.319,80.58,72,0,12.66
72,Lauf,DE,2022-05-15 04:32:53,48.65,8.1333,55.72,81,0,8.05
73,Hambantota,LK,2022-05-15 04:32:53,6.1241,81.1185,88.14,74,40,13.8
74,Kodiak,US,2022-05-15 04:32:53,57.79,-152.4072,49.51,40,0,13.8
75,Ano Mera,GR,2022-05-15 04:32:54,37.45,25.4,68.07,72,0,4.61
76,Peniche,PT,2022-05-15 04:32:54,39.3558,-9.3811,63.28,90,100,11.32
77,Codrington,AU,2022-05-15 04:32:54,-38.2667,141.9667,65.43,61,19,22.59
78,Enid,US,2022-05-15 04:28:04,36.3956,-97.8784,77.16,65,20,11.5
79,Seydi,TM,2022-05-15 04:32:55,39.4816,62.9137,78.06,24,0,10.0
80,Roald,NO,2022-05-15 04:32:55,62.5833,6.1333,48.76,87,75,3.44
81,Lebu,CL,2022-05-15 04:32:56,-37.6167,-73.65,47.68,66,0,6.4
82,Margate,GB,2022-05-15 04:30:41,51.3813,1.3862,58.3,84,87,1.99
83,Colombo,LK,2022-05-15 04:31:50,6.9319,79.8478,85.95,80,100,16.22
84,Asyut,EG,2022-05-15 04:32:56,27.181,31.1837,66.38,32,100,18.59
85,Kaitangata,NZ,2022-05-15 04:32:56,-46.2817,169.8464,48.9,88,55,4.56
86,Ancud,CL,2022-05-15 04:32:57,-41.8697,-73.8203,44.04,84,0,5.99
87,Qaanaaq,GL,2022-05-15 04:32:57,77.484,-69.3632,15.8,66,68,6.38
88,Tiksi,RU,2022-05-15 04:32:57,71.6872,128.8694,20.89,86,35,8.01
89,Aswan,EG,2022-05-15 04:29:10,24.0934,32.907,84.06,27,0,13.04
90,Cape Girardeau,US,2022-05-15 04:28:52,37.3834,-89.7168,72.99,81,100,5.57
91,Hofn,IS,2022-05-15 04:33:58,64.2539,-15.2082,43.63,87,100,9.91
92,Carnarvon,AU,2022-05-15 04:33:58,-24.8667,113.6333,73.08,31,0,14.81
93,Viedma,AR,2022-05-15 04:33:59,-40.8135,-62.9967,48.99,64,5,17.27
94,Liyang,CN,2022-05-15 04:33:59,29.7057,118.2862,65.53,53,100,4.5
95,Mataura,NZ,2022-05-15 04:33:59,-46.1927,168.8643,51.48,87,22,1.19
96,Grand-Santi,GF,2022-05-15 04:34:00,4.25,-54.3833,73.08,100,100,2.06
97,Saint-Philippe,RE,2022-05-15 04:34:00,-21.3585,55.7679,72.99,84,69,9.35
98,Lar,IN,2022-05-15 04:34:00,26.2039,83.9717,103.48,28,4,9.71
99,Mackenzie,CA,2022-05-15 04:29:08,55.2999,-123.1698,48.42,49,100,4.61
100,Arlit,NE,2022-05-15 04:34:01,18.7369,7.3853,80.44,17,1,10.04
101,Ode,NG,2022-05-15 04:34:01,7.7899,5.7117,69.22,99,100,3.78
102,Griffith,US,2022-05-15 04:34:01,41.5284,-87.4237,71.06,78,0,4.61
103,Diego De Almagro,CL,2022-05-15 04:34:02,-26.3667,-70.05,56.39,36,0,2.3
104,Leningradskiy,RU,2022-05-15 04:34:02,69.3833,178.4167,33.01,92,100,22.75
105,Sitka,US,2022-05-15 04:34:03,57.0531,-135.33,48.09,71,100,6.91
106,Durazno,UY,2022-05-15 04:34:03,-33.4131,-56.5006,48.31,88,96,7.56
107,Arawa,PG,2022-05-15 04:34:03,-6.2132,155.5367,83.93,74,76,1.9
108,Butaritari,KI,2022-05-15 04:34:04,3.0707,172.7902,81.37,71,4,6.46
109,Ostrovnoy,RU,2022-05-15 04:34:04,68.0531,39.5131,40.06,71,76,7.2
110,Mar Del Plata,AR,2022-05-15 04:34:04,-38.0023,-57.5575,45.95,81,0,6.91
111,Hilo,US,2022-05-15 04:33:17,19.7297,-155.09,75.27,84,75,10.36
112,Paraiso,CR,2022-05-15 04:32:40,9.8383,-83.8656,65.41,96,100,1.14
113,Severo-Kurilsk,RU,2022-05-15 04:34:05,50.6789,156.125,37.11,96,100,26.49
114,Lander,US,2022-05-15 04:31:13,42.833,-108.7307,61.61,29,0,0.0
115,Ust-Kuyga,RU,2022-05-15 04:34:05,70.0167,135.6,26.67,74,88,4.5
116,Yulara,AU,2022-05-15 04:34:05,-25.2406,130.9889,76.71,39,33,9.31
117,Kavieng,PG,2022-05-15 04:34:06,-2.5744,150.7967,84.58,63,57,3.15
118,Lincoln,US,2022-05-15 04:33:37,40.8,-96.667,65.17,68,20,8.05
119,Tasiilaq,GL,2022-05-15 04:33:08,65.6145,-37.6368,26.76,70,100,4.97
120,Hualmay,PE,2022-05-15 04:34:06,-11.0964,-77.6139,62.19,89,25,7.31
121,Mukhen,RU,2022-05-15 04:34:07,48.1,136.1,51.8,74,100,13.89
122,Victoria,HK,2022-05-15 04:30:14,22.2855,114.1577,76.32,89,100,8.99
123,Atuona,PF,2022-05-15 04:34:07,-9.8,-139.0333,78.21,78,16,17.56
124,Francistown,BW,2022-05-15 04:34:07,-21.17,27.5079,60.13,41,0,7.11
125,Vao,NC,2022-05-15 04:34:08,-22.6667,167.4833,73.89,71,23,13.0
126,Ilulissat,GL,2022-05-15 04:34:08,69.2167,-51.1,2.98,86,18,8.37
127,Jilib,SO,2022-05-15 04:34:08,0.4883,42.7854,82.15,73,78,10.67
128,Padang,ID,2022-05-15 04:34:09,-0.9492,100.3543,87.85,72,17,5.79
129,Port Lincoln,AU,2022-05-15 04:34:09,-34.7333,135.8667,64.18,67,25,23.42
130,Bonavista,CA,2022-05-15 04:32:07,48.6499,-53.1147,33.73,74,19,2.37
131,Chokurdakh,RU,2022-05-15 04:34:10,70.6333,147.9167,22.82,83,100,3.69
132,Urcos,PE,2022-05-15 04:34:10,-13.6861,-71.6228,46.29,92,4,3.18
133,Sao Filipe,CV,2022-05-15 04:34:10,14.8961,-24.4956,74.98,74,82,9.66
134,Paamiut,GL,2022-05-15 04:34:11,61.994,-49.6678,27.01,71,80,11.9
135,Provideniya,RU,2022-05-15 04:34:11,64.3833,-173.3,37.22,89,99,10.87
136,Yushan,CN,2022-05-15 04:34:11,31.3776,120.9543,72.99,36,100,3.42
137,San Quintin,MX,2022-05-15 04:34:12,30.4833,-115.95,63.25,73,0,6.31
138,Alma,CA,2022-05-15 04:35:12,48.5501,-71.6491,61.41,67,96,12.19
139,Korla,CN,2022-05-15 04:35:13,41.7597,86.1469,77.09,22,24,2.24
140,Berlevag,NO,2022-05-15 04:35:13,70.8578,29.0864,40.8,93,100,10.36
141,Prince Rupert,CA,2022-05-15 04:35:13,54.3161,-130.3201,48.29,79,20,4.61
142,Fortuna,US,2022-05-15 04:33:20,40.5982,-124.1573,57.65,94,100,0.0
143,Pevek,RU,2022-05-15 04:35:14,69.7008,170.3133,28.2,77,98,15.57
144,Mocuba,MZ,2022-05-15 04:35:14,-16.8392,36.9856,65.44,94,14,2.98
145,Geraldton,AU,2022-05-15 04:33:23,-28.7667,114.6,70.21,56,100,8.05
146,Pilar,BR,2022-05-15 04:32:33,-9.5972,-35.9567,73.33,94,39,1.63
147,Saint-Joseph,RE,2022-05-15 04:35:14,-21.3667,55.6167,71.98,81,45,10.18
148,Gagino,RU,2022-05-15 04:35:15,55.2314,45.0339,51.55,73,86,7.61
149,Grindavik,IS,2022-05-15 04:35:15,63.8424,-22.4338,46.87,100,100,16.11
150,Ribeira Grande,PT,2022-05-15 04:35:16,38.5167,-28.7,60.24,62,84,26.24
151,Santa Maria,BR,2022-05-15 04:30:30,-29.6842,-53.8069,58.66,98,100,2.39
152,Talnakh,RU,2022-05-15 04:30:48,69.4865,88.3972,37.45,100,100,7.07
153,Ngunguru,NZ,2022-05-15 04:35:16,-35.6167,174.5,65.66,75,67,9.44
154,Remedios,CU,2022-05-15 04:35:16,22.4947,-79.5458,74.32,83,21,5.99
155,Khatanga,RU,2022-05-15 04:35:17,71.9667,102.5,33.71,100,100,11.39
156,Westport,US,2022-05-15 04:35:17,41.1415,-73.3579,65.3,96,100,3.44
157,Ambilobe,MG,2022-05-15 04:35:18,-13.2,49.05,74.57,70,0,3.42
158,Kango,GA,2022-05-15 04:35:18,0.1943,10.0951,74.52,99,100,1.97
159,Airai,TL,2022-05-15 04:34:23,-8.9266,125.4092,68.13,82,91,1.54
160,Isangel,VU,2022-05-15 04:35:21,-19.55,169.2667,77.18,62,55,11.1
161,Egvekinot,RU,2022-05-15 04:35:21,66.3167,-179.1667,32.79,100,98,5.86
162,New Norfolk,AU,2022-05-15 04:35:22,-42.7826,147.0587,67.5,56,66,1.99
163,Sao Jose Da Coroa Grande,BR,2022-05-15 04:31:37,-8.8978,-35.1478,77.04,86,82,5.57
164,Georgetown,MY,2022-05-15 04:34:56,5.4112,100.3354,89.53,78,20,5.75
165,Bud,US,2022-05-15 04:35:22,39.447,-86.1758,64.4,95,99,4.34
166,Luwuk,ID,2022-05-15 04:35:22,-0.9516,122.7875,83.89,81,99,3.38
167,Vianopolis,BR,2022-05-15 04:35:23,-16.7419,-48.5164,66.47,61,82,5.61
168,Lompoc,US,2022-05-15 04:35:23,34.6391,-120.4579,64.54,84,0,6.91
169,Constitucion,CL,2022-05-15 04:34:17,-35.3333,-72.4167,50.94,57,0,4.97
170,Eydhafushi,MV,2022-05-15 04:35:24,5.1033,73.0708,83.61,76,100,18.68
171,Ziro,IN,2022-05-15 04:35:24,27.6333,93.8333,54.34,91,100,0.76
172,Huron,US,2022-05-15 04:35:24,41.1501,-82.5499,65.97,85,99,6.78
173,Yagodnoye,RU,2022-05-15 04:35:25,62.55,149.6667,33.67,99,100,3.98
174,Filadelfia,US,2022-05-15 04:35:08,39.9523,-75.1638,67.15,97,100,5.75
175,Kudat,MY,2022-05-15 04:35:25,6.8837,116.8477,87.73,74,20,3.44
176,Saint-Lo,FR,2022-05-15 04:35:25,49.1162,-1.0903,57.63,97,100,9.08
177,Cabo San Lucas,MX,2022-05-15 04:35:26,22.8909,-109.9124,81.7,55,100,9.17
178,Tateyama,JP,2022-05-15 04:35:26,34.9833,139.8667,63.43,75,100,15.57
179,Trinidad,BO,2022-05-15 04:35:26,-14.8333,-64.9,73.24,89,14,2.93
180,Avera,US,2022-05-15 04:35:27,33.194,-82.5271,65.71,69,100,3.36
181,Tuatapere,NZ,2022-05-15 04:33:01,-46.1333,167.6833,50.92,82,11,2.46
182,Rosia,RO,2022-05-15 04:35:27,45.8167,24.3167,52.09,82,0,2.3
183,Vanimo,PG,2022-05-15 04:36:27,-2.6741,141.3028,84.24,73,87,5.66
184,Yumen,CN,2022-05-15 04:36:28,40.2833,97.2,67.33,8,0,14.67
185,Havre-Saint-Pierre,CA,2022-05-15 04:36:28,50.2334,-63.5986,41.36,60,0,9.22
186,Port-Cartier,CA,2022-05-15 04:36:28,50.0334,-66.8654,45.75,78,38,7.76
187,Avarua,CK,2022-05-15 04:35:48,-21.2078,-159.775,78.85,69,75,6.91
188,Novaya Ladoga,RU,2022-05-15 04:36:29,60.1025,32.3019,46.8,79,42,7.56
189,Lodja,CD,2022-05-15 04:36:29,-3.4833,23.4333,70.41,80,45,0.67
190,Ponta Do Sol,PT,2022-05-15 04:33:09,32.6667,-17.1,66.7,75,23,7.9
191,Hithadhoo,MV,2022-05-15 04:36:30,-0.6,73.0833,82.63,69,72,6.13
192,Saint Andrews,US,2022-05-15 04:36:30,34.0454,-81.1293,67.98,78,20,1.01
193,Russell,US,2022-05-15 04:36:30,32.3502,-85.1999,71.2,88,0,0.0
194,Maldonado,UY,2022-05-15 04:36:27,-34.6667,-54.9167,56.23,72,100,5.55
195,Wajir,KE,2022-05-15 04:36:31,1.7471,40.0573,76.96,83,75,0.0
