City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Avarua,CK,-21.2078,-159.775,80.65,65,75,4.61,broken clouds
79,Kunashak,RU,55.7032,61.5498,45.12,80,100,2.21,overcast clouds
80,Yurimaguas,PE,-5.9,-76.0833,72.55,96,100,1.48,overcast clouds
81,Saurimo,AO,-9.6608,20.3916,61.02,60,0,5.28,clear sky
82,Souillac,MU,-20.5167,57.5167,73.78,88,40,11.5,light rain
83,Flin Flon,CA,54.7682,-101.865,35.2,95,100,9.75,light snow
84,Vanimo,PG,-2.6741,141.3028,84.4,67,92,5.39,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,10.45,92,37,6.96,scattered clouds
86,Toora-Khem,RU,52.4675,96.11,60.48,37,100,2.24,overcast clouds
87,Nikolskoye,RU,59.7035,30.7861,46.87,89,100,7.63,overcast clouds
88,Pangai,TO,-19.8,-174.35,80.71,47,20,9.22,few clouds
89,Tiarei,PF,-17.5333,-149.3333,86.02,74,100,13.44,light rain
90,Biloela,AU,-24.4167,150.5,80.15,55,58,6.17,broken clouds
91,Hobart,AU,-42.8794,147.3294,53.02,84,20,19.57,few clouds
92,Hamilton,US,39.1834,-84.5333,76.84,62,0,4.61,clear sky
93,Husavik,IS,66.0449,-17.3389,45.55,84,11,9.04,few clouds
94,Port Alfred,ZA,-33.5906,26.891,61.99,83,0,8.63,clear sky
95,Maun,BW,-19.9833,23.4167,62.56,42,0,10.36,clear sky
96,Provideniya,RU,64.3833,-173.3,41.11,70,75,18.01,broken clouds
97,Kaitangata,NZ,-46.2817,169.8464,56.26,63,0,2.73,clear sky
98,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,75,4.61,broken clouds
99,Ancud,CL,-41.8697,-73.8203,46.6,76,100,9.84,overcast clouds
100,Boyolangu,ID,-8.1181,111.8935,81.19,77,71,2.71,broken clouds
101,Ilulissat,GL,69.2167,-51.1,21.22,63,27,0.0,scattered clouds
102,Kharp,RU,66.8014,65.8081,42.42,94,93,3.47,overcast clouds
103,Thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,light intensity drizzle
104,Rapid Valley,US,44.0625,-103.1463,68.2,37,0,14.97,clear sky
105,Geraldton,AU,-28.7667,114.6,59.41,72,0,12.66,clear sky
106,Salisbury,GB,51.0693,-1.7957,59.68,92,100,5.91,moderate rain
107,Bani,DO,18.2833,-70.3333,80.85,80,91,6.8,overcast clouds
108,Saint-Joseph,RE,-21.3667,55.6167,66.58,83,50,11.5,light rain
109,Mirabad,AF,30.4362,61.8383,71.47,21,0,14.14,clear sky
110,Bethel,US,41.3712,-73.414,68.86,81,67,4.97,broken clouds
111,Kodiak,US,57.79,-152.4072,49.51,62,0,12.66,clear sky
112,Muros,ES,42.7762,-9.0603,61.09,90,100,17.05,overcast clouds
113,Bingol,TR,38.8847,40.4939,48.99,94,100,3.76,overcast clouds
114,Kaniama,CD,-7.5667,24.1833,68.04,61,24,4.76,few clouds
115,Castro,BR,-24.7911,-50.0119,53.62,97,8,5.06,clear sky
116,Caluquembe,AO,-13.7833,14.6833,62.24,58,97,2.21,overcast clouds
117,Thayetmyo,MM,19.3167,95.1833,86.85,61,6,5.95,clear sky
